index,runs,opponent,ground,date,match,Match_No,total
0,12,SriLanka,Dambulla,18Aug2008,ODI,1,12
1,37,SriLanka,Dambulla,20Aug2008,ODI,2,49
2,25,SriLanka,Colombo(RPS),24Aug2008,ODI,3,74
3,54,SriLanka,Colombo(RPS),27Aug2008,ODI,4,128
4,31,SriLanka,Colombo(RPS),29Aug2008,ODI,5,159
5,2,SriLanka,Colombo(RPS),14Sep2009,ODI,6,161
6,16,Pakistan,Centurion,26Sep2009,ODI,7,177
8,79,WestIndies,Johannesburg,30Sep2009,ODI,8,256
9,30,Australia,Vadodara,25Oct2009,ODI,9,286
10,10,Australia,Mohali,2Nov2009,ODI,10,296
11,27,SriLanka,Rajkot,15Dec2009,ODI,11,323
12,54,SriLanka,Nagpur,18Dec2009,ODI,12,377
13,107,SriLanka,Kolkata,24Dec2009,ODI,13,484
15,9,SriLanka,Mirpur,5Jan2010,ODI,14,493
16,91,Bangladesh,Mirpur,7Jan2010,ODI,15,584
17,71,SriLanka,Mirpur,10Jan2010,ODI,16,655
18,102,Bangladesh,Mirpur,11Jan2010,ODI,17,757
19,2,SriLanka,Mirpur,13Jan2010,ODI,18,759
20,31,SouthAfrica,Jaipur,21Feb2010,ODI,19,790
22,57,SouthAfrica,Ahmedabad,27Feb2010,ODI,20,847
23,0,Zimbabwe,Bulawayo,28May2010,ODI,21,847
24,82,SriLanka,Bulawayo,30May2010,ODI,22,929
25,18,Zimbabwe,Harare,3Jun2010,ODI,23,947
26,68,SriLanka,Harare,5Jun2010,ODI,24,1015
27,26,Zimbabwe,Harare,12Jun2010,T20,25,1041
29,11,Bangladesh,Dambulla,16Jun2010,ODI,26,1052
30,18,Pakistan,Dambulla,19Jun2010,ODI,27,1070
31,10,SriLanka,Dambulla,22Jun2010,ODI,28,1080
32,28,SriLanka,Dambulla,24Jun2010,ODI,29,1108
33,0,SriLanka,Dambulla,16Aug2010,ODI,30,1108
34,8,NewZealand,Dambulla,25Aug2010,ODI,31,1116
35,37,SriLanka,Dambulla,28Aug2010,ODI,32,1153
36,118,Australia,Visakhapatnam,20Oct2010,ODI,33,1271
37,105,NewZealand,Guwahati,28Nov2010,ODI,34,1376
38,64,NewZealand,Jaipur,1Dec2010,ODI,35,1440
39,63,NewZealand,Vadodara,4Dec2010,ODI,36,1503
40,0,NewZealand,Bengaluru,7Dec2010,ODI,37,1503
41,2,NewZealand,Chennai,10Dec2010,ODI,38,1505
42,28,SouthAfrica,Durban,9Jan2011,T20,39,1533
43,54,SouthAfrica,Durban,12Jan2011,ODI,40,1587
44,22,SouthAfrica,Johannesburg,15Jan2011,ODI,41,1609
45,28,SouthAfrica,CapeTown,18Jan2011,ODI,42,1637
46,87,SouthAfrica,Gqeberha,21Jan2011,ODI,43,1724
47,2,SouthAfrica,Centurion,23Jan2011,ODI,44,1726
48,100,Bangladesh,Mirpur,19Feb2011,ODI,45,1826
49,8,England,Bengaluru,27Feb2011,ODI,46,1834
50,34,Ireland,Bengaluru,6Mar2011,ODI,47,1868
51,12,Netherlands,Delhi,9Mar2011,ODI,48,1880
52,1,SouthAfrica,Nagpur,12Mar2011,ODI,49,1881
53,59,WestIndies,Chennai,20Mar2011,ODI,50,1940
54,24,Australia,Ahmedabad,24Mar2011,ODI,51,1964
55,9,Pakistan,Mohali,30Mar2011,ODI,52,1973
56,35,SriLanka,Wankhede,2Apr2011,ODI,53,2008
57,14,WestIndies,PortofSpain,4Jun2011,T20,54,2022
58,2,WestIndies,PortofSpain,6Jun2011,ODI,55,2024
59,81,WestIndies,PortofSpain,8Jun2011,ODI,56,2105
60,0,WestIndies,NorthSound,11Jun2011,ODI,57,2105
61,22,WestIndies,NorthSound,13Jun2011,ODI,58,2127
62,94,WestIndies,Kingston,16Jun2011,ODI,59,2221
63,4,WestIndies,Kingston,20Jun2011,Test,60,2225
64,15,WestIndies,Kingston,20Jun2011,Test,61,2240
65,0,WestIndies,Bridgetown,28Jun2011,Test,62,2240
66,27,WestIndies,Bridgetown,28Jun2011,Test,63,2267
67,30,WestIndies,Roseau,6Jul2011,Test,64,2297
69,4,England,Manchester,31Aug2011,T20,65,2301
70,55,England,Chester-le-Street,3Sep2011,ODI,66,2356
71,9,England,Southampton,6Sep2011,ODI,67,2365
72,7,England,TheOval,9Sep2011,ODI,68,2372
73,16,England,Lord's,11Sep2011,ODI,69,2388
74,107,England,Cardiff,16Sep2011,ODI,70,2495
75,37,England,Hyderabad(Deccan),14Oct2011,ODI,71,2532
76,112,England,Delhi,17Oct2011,ODI,72,2644
77,35,England,Mohali,20Oct2011,ODI,73,2679
78,86,England,Wankhede,23Oct2011,ODI,74,2765
79,0,England,Kolkata,25Oct2011,ODI,75,2765
80,15,England,Kolkata,29Oct2011,T20,76,2780
81,52,WestIndies,Wankhede,22Nov2011,Test,77,2832
82,63,WestIndies,Wankhede,22Nov2011,Test,78,2895
83,3,WestIndies,Cuttack,29Nov2011,ODI,79,2898
84,117,WestIndies,Visakhapatnam,2Dec2011,ODI,80,3015
85,20,WestIndies,Ahmedabad,5Dec2011,ODI,81,3035
86,23,WestIndies,Indore,8Dec2011,ODI,82,3058
87,80,WestIndies,Chennai,11Dec2011,ODI,83,3138
88,11,Australia,Melbourne,26Dec2011,Test,84,3149
89,0,Australia,Melbourne,26Dec2011,Test,85,3149
90,23,Australia,Sydney,3Jan2012,Test,86,3172
91,9,Australia,Sydney,3Jan2012,Test,87,3181
92,44,Australia,Perth,13Jan2012,Test,88,3225
93,75,Australia,Perth,13Jan2012,Test,89,3300
94,116,Australia,Adelaide,24Jan2012,Test,90,3416
95,22,Australia,Adelaide,24Jan2012,Test,91,3438
96,22,Australia,Sydney,1Feb2012,T20,92,3460
97,31,Australia,Melbourne,3Feb2012,T20,93,3491
98,31,Australia,Melbourne,5Feb2012,ODI,94,3522
99,77,SriLanka,Perth,8Feb2012,ODI,95,3599
100,18,Australia,Adelaide,12Feb2012,ODI,96,3617
101,15,SriLanka,Adelaide,14Feb2012,ODI,97,3632
102,12,Australia,Brisbane,19Feb2012,ODI,98,3644
103,66,SriLanka,Brisbane,21Feb2012,ODI,99,3710
104,21,Australia,Sydney,26Feb2012,ODI,100,3731
105,133,SriLanka,Hobart,28Feb2012,ODI,101,3864
106,108,SriLanka,Mirpur,13Mar2012,ODI,102,3972
107,66,Bangladesh,Mirpur,16Mar2012,ODI,103,4038
108,183,Pakistan,Mirpur,18Mar2012,ODI,104,4221
110,106,SriLanka,Hambantota,21Jul2012,ODI,105,4327
111,1,SriLanka,Hambantota,24Jul2012,ODI,106,4328
112,38,SriLanka,Colombo(RPS),28Jul2012,ODI,107,4366
113,128,SriLanka,Colombo(RPS),31Jul2012,ODI,108,4494
114,23,SriLanka,Pallekele,4Aug2012,ODI,109,4517
115,68,SriLanka,Pallekele,7Aug2012,T20,110,4585
116,58,NewZealand,Hyderabad(Deccan),23Aug2012,Test,111,4643
117,103,NewZealand,Bengaluru,31Aug2012,Test,112,4746
118,51,NewZealand,Bengaluru,31Aug2012,Test,113,4797
119,70,NewZealand,Chennai,11Sep2012,T20,114,4867
120,50,Afghanistan,Colombo(RPS),19Sep2012,T20,115,4917
121,40,England,Colombo(RPS),23Sep2012,T20,116,4957
122,15,Australia,Colombo(RPS),28Sep2012,T20,117,4972
123,78,Pakistan,Colombo(RPS),30Sep2012,T20,118,5050
124,2,SouthAfrica,Colombo(RPS),2Oct2012,T20,119,5052
125,19,England,Ahmedabad,15Nov2012,Test,120,5071
126,14,England,Ahmedabad,15Nov2012,Test,121,5085
127,19,England,Wankhede,23Nov2012,Test,122,5104
128,7,England,Wankhede,23Nov2012,Test,123,5111
129,6,England,Kolkata,5Dec2012,Test,124,5117
130,20,England,Kolkata,5Dec2012,Test,125,5137
131,103,England,Nagpur,13Dec2012,Test,126,5240
132,21,England,Pune,20Dec2012,T20,127,5261
133,38,England,Wankhede,22Dec2012,T20,128,5299
134,9,Pakistan,Bengaluru,25Dec2012,T20,129,5308
135,27,Pakistan,Ahmedabad,28Dec2012,T20,130,5335
136,0,Pakistan,Chennai,30Dec2012,ODI,131,5335
137,6,Pakistan,Kolkata,3Jan2013,ODI,132,5341
138,7,Pakistan,Delhi,6Jan2013,ODI,133,5348
139,15,England,Rajkot,11Jan2013,ODI,134,5363
140,37,England,Kochi,15Jan2013,ODI,135,5400
141,77,England,Ranchi,19Jan2013,ODI,136,5477
142,26,England,Mohali,23Jan2013,ODI,137,5503
143,0,England,Dharamsala,27Jan2013,ODI,138,5503
144,107,Australia,Chennai,22Feb2013,Test,139,5610
146,34,Australia,Hyderabad(Deccan),2Mar2013,Test,140,5644
147,67,Australia,Mohali,14Mar2013,Test,141,5711
148,34,Australia,Mohali,14Mar2013,Test,142,5745
149,1,Australia,Delhi,22Mar2013,Test,143,5746
150,41,Australia,Delhi,22Mar2013,Test,144,5787
151,31,SouthAfrica,Cardiff,6Jun2013,ODI,145,5818
152,22,WestIndies,TheOval,11Jun2013,ODI,146,5840
153,22,Pakistan,Birmingham,15Jun2013,ODI,147,5862
154,58,SriLanka,Cardiff,20Jun2013,ODI,148,5920
155,43,England,Birmingham,23Jun2013,ODI,149,5963
156,11,WestIndies,Kingston,30Jun2013,ODI,150,5974
157,2,SriLanka,Kingston,2Jul2013,ODI,151,5976
158,102,WestIndies,PortofSpain,5Jul2013,ODI,152,6078
159,31,SriLanka,PortofSpain,9Jul2013,ODI,153,6109
160,2,SriLanka,PortofSpain,11Jul2013,ODI,154,6111
161,115,Zimbabwe,Harare,24Jul2013,ODI,155,6226
162,14,Zimbabwe,Harare,26Jul2013,ODI,156,6240
163,68,Zimbabwe,Harare,28Jul2013,ODI,157,6308
166,29,Australia,Rajkot,10Oct2013,T20,158,6337
167,61,Australia,Pune,13Oct2013,ODI,159,6398
168,100,Australia,Jaipur,16Oct2013,ODI,160,6498
169,68,Australia,Mohali,19Oct2013,ODI,161,6566
171,115,Australia,Nagpur,30Oct2013,ODI,162,6681
172,0,Australia,Bengaluru,2Nov2013,ODI,163,6681
173,3,WestIndies,Kolkata,6Nov2013,Test,164,6684
174,57,WestIndies,Wankhede,14Nov2013,Test,165,6741
175,86,WestIndies,Kochi,21Nov2013,ODI,166,6827
176,99,WestIndies,Visakhapatnam,24Nov2013,ODI,167,6926
177,19,WestIndies,Kanpur,27Nov2013,ODI,168,6945
178,31,SouthAfrica,Johannesburg,5Dec2013,ODI,169,6976
179,0,SouthAfrica,Durban,8Dec2013,ODI,170,6976
181,119,SouthAfrica,Johannesburg,18Dec2013,Test,171,7095
182,96,SouthAfrica,Johannesburg,18Dec2013,Test,172,7191
183,46,SouthAfrica,Durban,26Dec2013,Test,173,7237
184,11,SouthAfrica,Durban,26Dec2013,Test,174,7248
185,123,NewZealand,Napier,19Jan2014,ODI,175,7371
186,78,NewZealand,Hamilton,22Jan2014,ODI,176,7449
187,6,NewZealand,Auckland,25Jan2014,ODI,177,7455
188,2,NewZealand,Hamilton,28Jan2014,ODI,178,7457
189,82,NewZealand,Wellington,31Jan2014,ODI,179,7539
